Strain_name,Publication_name,Other_name,Loci_count,Loci_missing,Lineage,Mating_type,Continent,Country,Province_State,Year_collected,Host_type,Host_genus,Host_genus_species,Source_publication,accession_WGS_SRA,accession_avh120,accession_avh121,accession_btub,accession_gweuk,accession_hsp90,accession_trp1
IRE_75,IRE_75,"PR07-069, IB114PR",5,hsp90,EU1,A1,Europe,Ireland,Ireland,2007,shrub,Viburnum sp.,Viburnum sp.,,,,,,,,
IRE_76,IRE_76,"PR07-212, CN03WH",4,hsp90:trp1,EU1,A1,Europe,Ireland,Ireland,2007,shrub,Rhododendron sp.,Rhododendron sp.,,,,,,,,
IRE_77,IRE_77,"PR07-345, IB042",5,hsp90,EU1,A1,Europe,Ireland,Ireland,2007,shrub,Viburnum sp.,Viburnum sp.,,,,,,,,
IRE_78,IRE_78,"PR08 -0103, DF019PR",5,hsp90,EU1,A1,Europe,Ireland,Ireland,2008,shrub,Rhododendron sp.,Rhododendron sp.,,,,,,,,
IRE_80,IRE_80,"PR09-0573, DF PR 015",5,hsp90,EU1,A1,Europe,Ireland,Ireland,2009,shrub,Rhododendron sp.,Rhododendron sp.,,,,,,,,
IRE_9,IRE_9,"PF13-055, P13/DOL/170701 B",4,hsp90:trp1,EU1,A1,Europe,Ireland,Ireland,2013,conifer tree,Larix sp.,Larix sp. ,,,,,,,,
IRE_97,IRE_97,"PR10-764, P10/DOL/091105",5,hsp90,EU1,A1,Europe,Ireland,Ireland,2010,conifer tree,Larix sp. ,Larix sp. ,,,,,,,,
IRE_99,IRE_99,"PR10X-002, P2461",5,hsp90,EU2,A1,Europe,United Kingdom: Northern Ireland,United Kingdom: Northern Ireland,2010,conifer tree,Larix sp. ,Larix sp. ,,,,,,,,
JP1202,JP1202,,6,,NP1,A1,Asia,Japan,Japan,2017-2018,environmental,Laurosilva forest,Laurosilva forest dominated by Quercus spp. and Neolitsea sericea; also Camelia japonica,Jung2021,,MW323751,MW323787,MW323679,MW323615,MW323715,MW323579
JP236,JP236,,6,,NP1,A1,Asia,Japan,Japan,2017-2018,environmental,Laurosilva forest,"Laurosilva forests dominated by Q. salicina, Q. sessilifolia, A. firma, C. obtusa and T. sieboldii",Jung2021,,MW323745,MW323781,MW323673,MW323609,MW323709,MW323573
JP387,JP387,,6,,NP2,A2,Asia,Japan,Japan,2017-2018,environmental,Laurosilva forest,Laurosilva forest dominated by Lithocarpus edulis and Castanopsis sieboldii,Jung2021,,MW323746,MW323782,MW323674,MW323610,MW323710,MW323574
JP462,JP462,,6,,NP2,A2,Asia,Japan,Japan,2017-2018,environmental,Laurosilva forest,Laurosilva forest dominated by Lithocarpus edulis and Castanopsis sieboldii,Jung2021,,MW323747,MW323783,MW323675,MW323611,MW323711,MW323575
JP716,JP716,,6,,NP1,A1,Asia,Japan,Japan,2017-2018,environmental,Laurosilva forest,"Laurosilva forests dominated by Q. salicina, Q. sessilifolia, A. firma, C. obtusa and T. sieboldii",Jung2021,,MW323748,MW323784,MW323676,MW323612,MW323712,MW323576
JP916,JP916,,6,,NP1,A1,Asia,Japan,Japan,2017-2018,environmental,Laurosilva forest,"Laurosilva forests dominated by Q. salicina, Q. sessilifolia, A. firma, C. obtusa and T. sieboldii",Jung2021,,MW323749,MW323785,MW323677,MW323613,MW323713,MW323577
JP975,JP975,,6,,NP3,A2,Asia,Japan,Japan,2017-2018,environmental,Laurosilva forest,Laurosilva forest dominated by Quercus spp. and Neolitsea sericea; also Camelia japonica,Jung2021,,MW323750,MW323786,MW323678,MW323614,MW323714,MW323578
MK548,MK548,,6,,NA1,A2,North America,United States,USA: CA,2008,shrub,Umbellularia sp.,Umbellularia californica,Hamelin2022,SRR9883250,,,,,,
MK649a,MK649a,,6,,NA1,A2,North America,United States,USA: CA,2008,shrub,Umbellularia sp.,Umbellularia californica,Hamelin2022,SRR9883251,,,,,,
MK79j,MK79j,,6,,NA1,A2,North America,United States,USA: CA,2008,shrub,Umbellularia sp.,Umbellularia californica,Hamelin2022,SRR9883249,,,,,,
P_lateralis_P2451,P_lateralis_P2451,,6,,unknown,unknown,Europe,United Kingdom (country unknown),United Kingdom (country unknown),unknown,conifer tree,Chamaecyparis sp.,Chamaecyparis lawsoniana,Jung2021,,MW323780,MW323815,MW323708,MW323644,MW323744,MW323608
P1367,P1367,,6,,EU1,A1,unknown,unknown,unknown,unknown,shrub,Viburnum sp. ,Viburnum bodnantense,Jung2021,,MW323768,MW323804,MW323696,MW323632,MW323732,MW323596
P1376,P1376,,6,,EU1,A1,Europe,United Kingdom: England,United Kingdom: England,2002,shrub,Viburnum sp. ,Viburnum tinus ,Jung2021,,MW323769,MW323805,MW323697,MW323633,MW323733,MW323597
P1403,P1403,,6,,NA1,A2,North America,United States,USA: OR,2000,shrub,Vaccinium sp. ,Vaccinium ovatum ,Jung2021,,MW323774,MW323809,MW323702,MW323638,MW323738,MW323602
P1421,P1421,,6,,NA1,A2,North America,United States,USA: CA,unknown,shrub,Rhododendron sp. ,Rhododendron spp. ,Jung2021,,MW323775,MW323810,MW323703,MW323639,MW323739,MW323603
P1496,P1496,,6,,NA1,A2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Jung2021,,MW323776,MW323811,MW323704,MW323640,MW323740,MW323604
P1578,P1578,,5,avh121,EU1,A1,Europe,United Kingdom (country unknown),United Kingdom (country unknown),2002,shrub,Rhododendron sp.,Rhododendron catawbiense,Jung2021,,MW323770,,MW323698,MW323634,MW323734,MW323598
P2056,P2056,,6,,NA2,A2,North America,United States,USA: OR,unknown,unknown,unknown,unknown,Jung2021,,MW323777,MW323812,MW323705,MW323641,MW323741,MW323605
P2057,P2057,,6,,NA2,A2,North America,United States,USA: WA,unknown,unknown,unknown,unknown,Jung2021,,MW323778,MW323813,MW323706,MW323642,MW323742,MW323606
P2058,P2058,,6,,NA2,A2,North America,United States,USA: CA,2005,shrub,Rhododendron sp. ,Rhododendron spp. ,Jung2021,,MW323779,MW323814,MW323707,MW323643,MW323743,MW323607
P2460,P2460,,6,,EU2,A1,Europe,United Kingdom: Northern Ireland,United Kingdom: Northern Ireland,2010,conifer tree,Larix sp.,Larix kaempferi ,Jung2021,,MW323771,MW323806,MW323699,MW323635,MW323735,MW323599
P2461,P2461,,6,,EU2,A1,Europe,United Kingdom: Northern Ireland,United Kingdom: Northern Ireland,2010,conifer tree,Larix sp.,Larix sp. ,Jung2021,,MW323772,MW323807,MW323700,MW323636,MW323736,MW323600
P2462,P2462,,6,,EU2,A1,Europe,United Kingdom: Northern Ireland,United Kingdom: Northern Ireland,2010,conifer tree,Larix sp.,Larix sp. ,Jung2021,,MW323773,MW323808,MW323701,MW323637,MW323737,MW323601
Phra1_7964,Phra1_7964,PRAM_16_0237_0021,6,,EU1xNA2,unknown,North America,Canada,Canada: BC,2016,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285106,,,,,,
Phra2_7974,Phra2_7974,PRAM_16_0284_0032,6,,EU1xNA2,unknown,North America,Canada,Canada: BC,2016,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285105,,,,,,
PR_01_003,PR_01_003,,5,hsp90,NA1,A2,North America,United States,USA: OR,2001,unknown,unknown,unknown,Goss2009,,EU850888.1,EU850916.1,EU850952.1,EU851016.1,,EU850988.1
PR_01_004,PR_01_004,,5,hsp90,NA1,A2,North America,United States,USA: OR,2001,unknown,unknown,unknown,Goss2009,,EU850887.1,EU850915.1,EU850951.1,EU851015.1,,EU850987.1
PR_01_023,PR_01_023,,5,hsp90,EU1,A1,Europe,Germany,Germany,2001,unknown,unknown,unknown,Goss2009,,EU850877.1,EU850905.1,EU850941.1,EU851005.1,,EU850977.1
PR_01_024,PR_01_024,,5,hsp90,EU1,A1,Europe,Germany,Germany,2001,unknown,unknown,unknown,Goss2009,,EU850879.1,EU850907.1,EU850943.1,EU851007.1,,EU850979.1
PR_02_010,PR_02_010,,5,hsp90,EU1,A1,Europe,France,France,2002,unknown,unknown,unknown,Goss2009,,EU850878.1,EU850906.1,EU850942.1,EU851006.1,,EU850978.1
PR_04_001,PR_04_001,,5,hsp90,NA1,A2,North America,United States,USA: OR,2001,unknown,unknown,unknown,Goss2009,,EU850892.1,EU850920.1,EU850956.1,EU851020.1,,EU850992.1
PR_04_002,PR_04_002,,5,hsp90,EU1,A1,North America,United States,USA: OR,2003,unknown,unknown,unknown,Goss2009,,EU850875.1,EU850903.1,EU850939.1,EU851003.1,,EU850975.1
PR_04_004,PR_04_004,,5,hsp90,NA1,A2,North America,United States,USA: CA,unknown,unknown,unknown,unknown,Goss2009,,EU850883.1,EU850911.1,EU850947.1,EU851011.1,,EU850983.1
PR_04_007,PR_04_007,,5,hsp90,NA1,A2,North America,United States,USA: OR,2004,unknown,unknown,unknown,Goss2009,,EU850882.1,EU850910.1,EU850946.1,EU851010.1,,EU850982.1
PR_04_015,PR_04_015,,5,hsp90,NA2,A2,North America,United States,USA: WA,2004,unknown,unknown,unknown,Goss2009,,EU850893.1,EU850921.1,EU850957.1,EU851021.1,,EU850993.1
PR_05_012,PR_05_012,,5,hsp90,EU1,A1,Europe,Germany,Germany,1995,unknown,unknown,unknown,Goss2009,,EU850876.1,EU850904.1,EU850940.1,EU851004.1,,EU850976.1
PR_05_014,PR_05_014,,5,hsp90,EU1,A1,Europe,United Kingdom (country unknown),United Kingdom (country unknown),unknown,unknown,unknown,unknown,Goss2009,,EU850880.1,EU850908.1,EU850944.1,EU851008.1,,EU850980.1
PR_05_017,PR_05_017,,5,hsp90,NA1,A2,North America,United States,USA: OR,2003,unknown,unknown,unknown,Goss2009,,EU850889.1,EU850917.1,EU850953.1,EU851017.1,,EU850989.1
PR_05_019,PR_05_019,,5,hsp90,NA1,A2,North America,United States,USA: WA,2004,unknown,unknown,unknown,Goss2009,,EU850885.1,EU850913.1,EU850949.1,EU851013.1,,EU850985.1
PR_05_025,PR_05_025,,5,hsp90,NA1,A2,North America,United States,USA: WA,2004,unknown,unknown,unknown,Goss2009,,EU850886.1,EU850914.1,EU850950.1,EU851014.1,,EU850986.1
PR_05_041,PR_05_041,,5,hsp90,NA1,A2,North America,United States,USA: OR,2003,unknown,unknown,unknown,Goss2009,,EU850890.1,EU850918.1,EU850954.1,EU851018.1,,EU850990.1
PR_05_055,PR_05_055,,5,hsp90,NA1,A2,North America,United States,USA: OR,2002,unknown,unknown,unknown,Goss2009,,EU850891.1,EU850919.1,EU850955.1,EU851019.1,,EU850991.1
PR_05_153,PR_05_153,,5,hsp90,NA2,A2,North America,United States,USA: CA,2005,unknown,unknown,unknown,Goss2009,,EU850894.1,EU850922.1,EU850958.1,EU851022.1,,EU850994.1
PR_05_166,PR_05_166,,5,hsp90,NA2,A2,North America,United States,USA: WA,2004,unknown,unknown,unknown,Goss2009,,EU850895.1,EU850923.1,EU850959.1,EU851023.1,,EU850995.1
PR_06_002,PR_06_002,,5,hsp90,NA1,A2,North America,United States,USA: OR,2004,unknown,unknown,unknown,Goss2009,,EU850881.1,EU850909.1,EU850945.1,EU851009.1,,EU850981.1
PR_0X_004,PR_0X_004,,5,hsp90,NA1,A2,North America,United States,USA: CA,unknown,unknown,unknown,unknown,Goss2009,,EU850884.1,EU850912.1,EU850948.1,EU851012.1,,EU850984.1
pr03_0110,03_0110,,6,,EU1,A1,North America,Canada,"Canada: BC, Metro Vancouver",2003,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285147,,,,,,
pr04_0372,04_0372,,6,,NA1,A2,North America,Canada,"Canada: BC, Metro Vancouver",2004,shrub,Camellia sp.,Camellia japonica,Hamelin2022,SRR17285146,,,,,,
pr04_22572,04_22572,,6,,NA1,A2,North America,Canada,"Canada: BC, South-east Vancouver Island",2004,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285135,,,,,,
pr04_25165,04_25165,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2004,shrub,Kalmia sp.,Kalmia sp.,Hamelin2022,SRR17285113,,,,,,
pr05_17017,05_17017,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2005,shrub,Camellia sp.,Camellia sp.,Hamelin2022,SRR17285104,,,,,,
pr05_7036,05_7036,,6,,EU1,A1,North America,Canada,"Canada: BC, Metro Vancouver",2005,shrub,Viburnum sp. ,Viburnum sp.,Hamelin2022,SRR17285102,,,,,,
