Strain_name,Other_name,Phylum,Class,Order,Family,Genus,LociCount,Lineage,Continent,Country,Region,YearCollected,HostDetailed,HostGeneral,HostType,SourcePub,accession_WGS_SRA,accession_avh120,accession_avh121,accession_btub,accession_gweuk,accession_hsp90,accession_trp1
Pram_62_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,France,France,2004,Rhododendron sp.,Rhododendron sp.,shrub,Feau2019,SRR8327039,,,,,,
Pram_73_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,France,France,2005,Rhododendron sp.,Rhododendron sp.,shrub,Feau2019,SRR8327038,,,,,,
Pram_30_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,France,France,2003,Viburnum tinus,Viburnum sp.,shrub,Feau2019,SRR8327042,,,,,,
Pram_4_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,France,France,2002,Viburnum tinus,Viburnum sp.,shrub,Feau2019,SRR8327036,,,,,,
PR_02_010,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,France,France,2002,unknown,unknown,unknown,Goss2009,,EU850878.1,EU850906.1,EU850942.1,EU851006.1,,EU850978.1
Pram_BBA_14_98_a_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,Germany,Germany,1998,Rhododendron catawbiense,Rhododendron sp.,shrub,Feau2019,SRR8327033,,,,,,
Pram_BBA_9_95_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,Germany,Germany,1995,Rhododendron catawbiense,Rhododendron sp.,shrub,Feau2019,SRR8327035,,,,,,
Pram_PR_01_018_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,Germany,Germany,2001,Rhododendron sp.,Rhododendron sp.,shrub,Feau2019,SRR8327110,,,,,,
Pram_PR_99_002_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,Germany,Germany,1999,Viburnum sp.,Viburnum sp.,shrub,Feau2019,SRR8327106,,,,,,
PR_01_023,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Germany,Germany,2001,unknown,unknown,unknown,Goss2009,,EU850877.1,EU850905.1,EU850941.1,EU851005.1,,EU850977.1
PR_01_024,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Germany,Germany,2001,unknown,unknown,unknown,Goss2009,,EU850879.1,EU850907.1,EU850943.1,EU851007.1,,EU850979.1
PR_05_012,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Germany,Germany,1995,unknown,unknown,unknown,Goss2009,,EU850876.1,EU850904.1,EU850940.1,EU851004.1,,EU850976.1
IRE_106,"PR11-723, P11/DOL/111006",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Ireland,Ireland,2011,Larix sp. ,Larix sp.,conifer tree,,,,,,,,
IRE_107,"PR11-777, P11/COF/151103",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Ireland,Ireland,2011,Larix sp. ,Larix sp.,conifer tree,,,,,,,,
IRE_118,PR12-631,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Ireland,Ireland,2012,Larix sp. ,Larix sp.,conifer tree,,,,,,,,
